Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Motz,FDYB1931 - 1932,"112 E. Court Square, Lincolnton, North Carolina, United States, 28092",112 E. Court Square,Lincolnton,North Carolina,United States,28092,,bowling alley,1920,1930,,,,https://cinematreasures.org/theaters/42856,
Brooklyn,FDYB1931,"/, Lumberton, North Carolina, United States, ",/,Lumberton,North Carolina,United States,,,,,,,,,,none found in Lumberton; one result in Wilmington
Robeson,FDYB1950,"/, Lumberton, North Carolina, United States, ",/,Lumberton,North Carolina,United States,,,,,,,,,,
Elmont,FDYB1931 - 1932,"/, Mount Airy, North Carolina, United States, ",/,Mount Airy,North Carolina,United States,,,,,,,,,,none found in Mount Airy; one result in Winston-Salem
School,FDYB1927,"/, Mountain Park, North Carolina, United States, ",/,Mountain Park,North Carolina,United States,,,,,,,,,,
Star,FDYB1927,"/, Mt. Holly, North Carolina, United States, ",/,Mt. Holly,North Carolina,United States,,,,,,,,,,
Glove [sp. Globe?],FDYB1931 - 1932,"/, New Bern, North Carolina, United States, ",/,New Bern,North Carolina,United States,,,,,,,,,,"mentioned here, no address listed; https://cinematreasures.org/theaters/71785"
Palace,FDYB1931 -,"1009 Broad Street, New Bern, North Carolina, United States, 28560",1009 Broad Street,New Bern,North Carolina,United States,28560,,,,,,,,https://cinematreasures.org/theaters/44481,
Ritz,FDYB1950,"/, New Bern, North Carolina, United States, ",/,New Bern,North Carolina,United States,,,,,,,,,https://www.cinematour.com/tour/us/35898.html,no address listed
Adams,FDYB1931 - 1932,"/, Pinehurst, North Carolina, United States, ",/,Pinehurst,North Carolina,United States,,,,,,,,,,
Dixie,FDYB1931 - 1932,"/, Plymouth, North Carolina, United States, ",/,Plymouth,North Carolina,United States,,,,,,,,,,
Palace,FDYB1927,"/, Plymouth, North Carolina, United States, ",/,Plymouth,North Carolina,United States,,,,,,,,,,
New Colored,FDYB1950,"/, Raeford, North Carolina, United States, ",/,Raeford,North Carolina,United States,,,,,,,,,,
Burgess,FDYB1931 - 1932,"/, Raleigh, North Carolina, United States, ",/,Raleigh,North Carolina,United States,,,,,,,,,,
Liberty,FDYB1931 -,"/, Raleigh, North Carolina, United States, ",/,Raleigh,North Carolina,United States,,,,,,,,,,
Lincoln,FDYB1950,"126 E. Cabarrus Street, Raleigh, North Carolina, United States, 27601",126 E. Cabarrus Street,Raleigh,North Carolina,United States,27601,Converted,Live performance facility,1945,1975,,,,https://cinematreasures.org/theaters/31688,
Royal,FDYB1950,"119 E. Hargett Street, Raleigh, North Carolina, United States, 27601",119 E. Hargett Street,Raleigh,North Carolina,United States,27601,,,,,,,,https://cinematreasures.org/theaters/16798,
Booker-T,FDYB1950,"182 N. West Market Street, Reidsville, North Carolina, United States, 27320",182 N. West Market Street,Reidsville,North Carolina,United States,27320,,,1945,1964,,,,https://cinematreasures.org/theaters/31704,
Gem,FDYB1931 - 1932,"92 NW Market Street, Reidsville, North Carolina, United States, 27320",92 NW Market Street,Reidsville,North Carolina,United States,27320,,,,,,,,https://cinematreasures.org/theaters/42550,Renamed Penn Theatre
Carver,FDYB1950,"/, Roanoke Rapids, North Carolina, United States, ",/,Roanoke Rapids,North Carolina,United States,,,,,,,,,,
Booker-T,FDYB1950,"170 E. Thomas Street, Rocky Mount, North Carolina, United States, 27801",170 E. Thomas Street,Rocky Mount,North Carolina,United States,27801,Converted,Multi purpose entertainment facility,1929,,,,,https://cinematreasures.org/theaters/17735,
Manhattan,FDYB1931 - 1932,", Rocky Mount, North Carolina, United States, ",,Rocky Mount,North Carolina,United States,,,,,,,,,,
Ritz [originally Manhattan],FDYB1950,"150 E. Thomas Street, Rocky Mount, North Carolina, United States, 27801",150 E. Thomas Street,Rocky Mount,North Carolina,United States,27801,,,,,,,,https://cinematreasures.org/theaters/31671,
Savoy,FDYB1933,", Rocky Mount, North Carolina, United States, ",,Rocky Mount,North Carolina,United States,,,,,,,,,,
Ritz,FDYB1950,"722 W. Horah Street, Salisbury, North Carolina, United States, 28144",722 W. Horah Street,Salisbury,North Carolina,United States,28144,Converted,Outreach Christian Tabernacle Church,1949,1955,,,,https://cinematreasures.org/theaters/35845,
Carolina,FDYB1950,"411 S. Horner Boulevard, Sanford, North Carolina, United States, 27332",411 S. Horner Boulevard,Sanford,North Carolina,United States,27332,,,"July 2, 1948",,,,,https://cinematreasures.org/theaters/72251,
Dunbar,FDYB1931 - 1932,"/, Sanford, North Carolina, United States, ",/,Sanford,North Carolina,United States,,,,,,,,,,
Jean,FDYB1950,"?? Main Street, Seaboard, North Carolina, United States, 27876",?? Main Street,Seaboard,North Carolina,United States,27876,,,,,,,,https://cinematreasures.org/theaters/42565,
Payne,FDYB1927,"/, Selma, North Carolina, United States, ",/,Selma,North Carolina,United States,,,,,,,,,,
Royal,FDYB1931 - 1932,"/, Selma, North Carolina, United States, ",/,Selma,North Carolina,United States,,,,,,,,,,
Washington,FDYB1950,"511 Weathers Street, Shelby, North Carolina, United States, 28150",511 Weathers Street,Shelby,North Carolina,United States,28150,,,,,,,,https://cinematreasures.org/theaters/39923,
Amith Hall,FDYB1931 - 1932,"/, Southern Pines, North Carolina, United States, ",/,Southern Pines,North Carolina,United States,,,,,,,,,,
Bells,FDYB1950,"908 Ledbetter Road, Spindale, North Carolina, United States, 28160",908 Ledbetter Road,Spindale,North Carolina,United States,28160,,,"February 26, 1949","October 8, 1961",Building fire,Charlie Broun,,https://cinematreasures.org/theaters/70746,
Dunbar,FDYB1931 -,"642 S. Center Street, Statesville, North Carolina, United States, 28677",642 S. Center Street,Statesville,North Carolina,United States,28677,,,1922,,,Mr. W. J. Murdock,,https://cinematreasures.org/theaters/42786,
Dixie,FDYB1950,"/, Tarboro, North Carolina, United States, ",/,Tarboro,North Carolina,United States,,,,,,,,,,
Highlands,FDYB1931 - 1932,"/, Wadesboro, North Carolina, United States, ",/,Wadesboro,North Carolina,United States,,,,,,,,,,
Lenox,FDYB1950,"327 W. Fifth St, Washington, North Carolina, United States, 27889",327 W. Fifth St,Washington,North Carolina,United States,27889,,,"July 17, 1947",,,William (Billy) H. Duke,,https://www.thewashingtondailynews.com/2021/08/04/the-history-of-theaters-in-washington/,
Ritz,FDYB1950,"/, Washington, North Carolina, United States, ",/,Washington,North Carolina,United States,,,,,,,,,,
Lincoln (Cl.),FDYB1950,"/, Whiteville, North Carolina, United States, ",/,Whiteville,North Carolina,United States,,,,,,,,,,
Oppolo,FDYB1950,"/, Whiteville, North Carolina, United States, ",/,Whiteville,North Carolina,United States,,,,,,,,,,
Rendezvous,FDYB1950,"/, Wilksboro, North Carolina, United States, ",/,Wilksboro,North Carolina,United States,,,,,,,,,,Could be the one mentioned here? https://www.journalpatriot.com/news/100-plus-years-of-going-to-the-movies/article_4416e630-bdc0-5b26-9375-7b282fd94137.html
Carver,FDYB1950,"/, Williamston, North Carolina, United States, ",/,Williamston,North Carolina,United States,,,,,,,,,https://cinematreasures.org/theaters/42559,No address listed
Ritz,FDYB1950,"810 N. 4th Street, Wilmington, North Carolina, United States, 28401",810 N. 4th Street,Wilmington,North Carolina,United States,28401,Demolished,,1940,1964,,,,https://cinematreasures.org/theaters/31672,
Globe,FDYB1931 -,"549-551 Nash Street, Wilson, North Carolina, United States, 27893",549-551 Nash Street,Wilson,North Carolina,United States,27893,,,1914,,,,,,https://afamwilsonnc.com/2016/07/20/theatrical-jottings/
Ritz,FDYB1950,"523 Nash Street, Wilson, North Carolina, United States, 27893",523 Nash Street,Wilson,North Carolina,United States,27893,Demolished,,1935,,,,,,https://afamwilsonnc.com/2021/10/16/a-theatre-for-the-negroes/ 
Lafayette,FDYB1931 -FDYB1950,"/, Winston Salem, North Carolina, United States, ",/,Winston Salem,North Carolina,United States,,,,,,,,,,
Lincoln,FDYB1931 -FDYB1950,"/, Winston Salem, North Carolina, United States, ",/,Winston Salem,North Carolina,United States,,,,,,,,,,
Ritz,FDYB1950,"70 N. Howard Street, Akron, Ohio, United States, 44308",70 N. Howard Street,Akron,Ohio,United States,44308,Converted,Interbelt - LGBTQ+ nightclub that is still in operation,1949,1955,,,,https://cinematreasures.org/theaters/15939,
Beecher,FDYB1931 -FDYB1950,"870 Beecher Street, Cincinnati, Ohio, United States, 45206",870 Beecher Street,Cincinnati,Ohio,United States,45206,,,1926,1950,,,,https://cinematreasures.org/theaters/31443,"""Origionally owned and operated by Jack Goldman, grandfather to current Esquire theatre operator Gary Goldman. It was part of a five-screen black theatre circuit Jack had in Cincinnati, along with the Regal and the Roosevelt downtown, the Lincoln in the West End, and the Roxy in Lockland."""
Dixie,FDYB1933,", Cincinnati, Ohio, United States, ",,Cincinnati,Ohio,United States,,,,,,,,,,
Freeman,FDYB1950,"1548 Freeman Avenue, Cincinnati, Ohio, United States, 45214",1548 Freeman Avenue,Cincinnati,Ohio,United States,45214,Demolished,,,,,,,https://beekman.herokuapp.com/theaters/62033,The neighborhood changed to predominately African-American just prior to World War II and the theatre transitioned to an African American house throughout the war and after. 
Gem,FDYB1931 - 1932,"/, Cincinnati, Ohio, United States, ",/,Cincinnati,Ohio,United States,,,,,,,,,,no record found online
Hippodrome,"FDYB1931 - 1932, FDYB1950","\, Cincinnati, Ohio, United States, ",\,Cincinnati,Ohio,United States,,,,,,,,,,could be this? https://cinematreasures.org/theaters/17739
Lincoln,FDYB1931 -FDYB1950,"500 W. 5th Street, Cincinnati, Ohio, United States, 45202",500 W. 5th Street,Cincinnati,Ohio,United States,45202,Demolished,,"December 24, 1913",1957,,Ollie Dempsey,,https://cinematreasures.org/theaters/37216,The Lincoln Theatre was one of the earliest theaters in Cincinnati to be owned and operated by African Americans
Pekin,"FDYB1931 - 1932, FDYB1950","536 W. 5th Street, Cincinnati, Ohio, United States, 45202",536 W. 5th Street,Cincinnati,Ohio,United States,45202,Demolished,,,,,Ollie Dempsey,,https://cinematreasures.org/theaters/37217,"The Pekin Theatre was opened around 1907 by Ollie Dempsey, and was one of the first nickelodeons owned and operated by an African-American. "
Regal,FDYB1950,"1201 Linn Street, Cincinnati, Ohio, United States, 45203",1201 Linn Street,Cincinnati,Ohio,United States,45203,Converted,Plans to restore the building and install the Robert O'Neal Multicultural Arts Center,1914,"January 2, 1994",,,,https://cinematreasures.org/theaters/8981,"Opened as Casino Theater, renamed Regal in 1941.  It was tripled in October 1991 and renamed Regal I, II, III. The Regal Theatre was among the African-American theatres that soldiered on trying to do business with urban renewal plans taking place all around them.

"
Rex,FDYB1931 - 1932,"240 W. 5th Street, Cincinnati, Ohio, United States, 45202",240 W. 5th Street,Cincinnati,Ohio,United States,45202,Demolished,,,,,,,https://cinematreasures.org/theaters/68417,
Roosevelt,FDYB1931 -FDYB1950,"425 Central Avenue, Cincinnati, Ohio, United States, 45202",425 Central Avenue,Cincinnati,Ohio,United States,45202,Demolished,,1923,1957,,,,https://cinematreasures.org/theaters/29883,"Many previous names and owners. On September 23, 1917, the Lyceum Theatre became an African-American theatre showing “The Smart Set” - Lyceum razed and Roosevelt built in its place. The Roosevelt Theatre was demolished and the operator moved their operation to the Regal Theatre at 1201 Linn Street in 1960."
State,FDYB1950,"1504 Central Avenue, Cincinnati, Ohio, United States, 45202",1504 Central Avenue,Cincinnati,Ohio,United States,45202,Demolished,Housed Lighthouse Ministries church before its demolition,,,,,,https://cinematreasures.org/theaters/17774,"Opened as the Metropolitan in 1915, renamed and became a Black theater in the 1930s."
Victoria [renamed Dixie],FDYB1931 - 1932,"220 Fifth Street W, Cincinnati, Ohio, United States, 45202",220 Fifth Street W,Cincinnati,Ohio,United States,45202,Demolished,Convention center built on grounds,1910,1964,,,,https://cinematreasures.org/theaters/29879,Renamed Dixie Theater in 1930.
Carter,FDYB1950,"2071 E. 9th Street, Cleveland, Ohio, United States, 44115",2071 E. 9th Street,Cleveland,Ohio,United States,44115,Demolished,,,1959,,,,https://cinematreasures.org/theaters/30838,"Many previous names, owners, and offerings"
Cedar [Cedar-Lee],FDYB1931 - FDYB1950,"2163 Lee Road, Cleveland, Ohio, United States, 44118",2163 Lee Road,Cleveland,Ohio,United States,44118,Still Standing,Still in operation,"December 29, 1925",,,,,https://cinematreasures.org/theaters/2871,
Crown,FDYB1950,"945 E. 105th Street, Cleveland, Ohio, United States, 44108",945 E. 105th Street,Cleveland,Ohio,United States,44108,Converted,Church,,,,,,https://cinematreasures.org/theaters/45373,
Erie,FDYB1931 - ,"/, Cleveland, Ohio, United States, ",/,Cleveland,Ohio,United States,,,,,,,,,,Could be this? Listed as the Strand Theatre located in the Erie building: https://cinematreasures.org/theaters/40603
Family,FDYB1931 -,"1882 East Ninth Street, Cleveland, Ohio, United States, 44114",1882 East Ninth Street,Cleveland,Ohio,United States,44114,Demolished,,,,,,,https://cinematreasures.org/theaters/22649,"Page for Roxy Theater, but brief mention: ""In 1907 the Family Theater opened at that location. A movie house by 1909, it was renamed the Orpheum Theater in 1913 and, following a two-year shutdown, the Roxy in 1931."""
Fountain,FDYB1931 - 1932,"4737 Woodland Avenue, Cleveland, Ohio, United States, 44104",4737 Woodland Avenue,Cleveland,Ohio,United States,44104,,,,,,,,https://cinematreasures.org/theaters/45534,"The Fountain Theatre was opened prior to 1916 and was located on Woodland Avenue at 49th Street. It was listed in Film Daily Yearbooks 1941-1943 as (Closed), and had gone from listings by 1950."
Globe,FDYB1950,"5217 Woodland Avenue, Cleveland, Ohio, United States, 44104",5217 Woodland Avenue,Cleveland,Ohio,United States,44104,Demolished,Prior to demolition lobby was home to Ebony Boy Barbecue take-out eatery,,,,,,https://cinematreasures.org/theaters/44945,"In the 1920’s it was an African American theatre, part of the TOBA Circuit presenting movies and vaudeville. In 1922, the Globe Theater adopted a poly of catering for patrons of both races."
Glove,FDYB1931 - 1932,", Cleveland, Ohio, United States, ",,Cleveland,Ohio,United States,,,,,,,,,,Misspelling of Globe?
Grand Central,FDYB1931 -,"7110 Central Avenue, Cleveland, Ohio, United States, 44104",7110 Central Avenue,Cleveland,Ohio,United States,44104,Demolished,,,,,,,https://cinematreasures.org/theaters/67478,
Haltnorth,FDYB1931 -FDYB1950,"2571 E. 55th Street, Cleveland, Ohio, United States, 44104",2571 E. 55th Street,Cleveland,Ohio,United States,44104,,,1914,,,,,https://cinematreasures.org/theaters/40636,
Karamu House,LHAT,"2355 East 89th Street, Cleveland, Ohio, United States, 44106",2355 East 89th Street,Cleveland,Ohio,United States,44106,Still Standing,Still in operation; oldest producing Black Theatre in the United States,1915,,,Russell and Rowena Jelliffe,,https://karamuhouse.org/,"Reflecting the strength of the Black influence on its development, the Playhouse Settlement was officially renamed Karamu House in 1941."
King,FDYB1950,"7101 Kinsman Road, Cleveland, Ohio, United States, 44104",7101 Kinsman Road,Cleveland,Ohio,United States,44104,Converted,Original Harvest Missionary Baptist Church,,,,,,https://cinematreasures.org/theaters/45395,"Originally Sunbeam Theatre. Another listing for King Theatre at 2804 E. 79th Street, Cleveland, OH 44104."
Main ,FDYB1931 -FDYB1950,"2510 Scovill Avenue, Cleveland, Ohio, United States, 44104",2510 Scovill Avenue,Cleveland,Ohio,United States,44104,,,,,,,,https://cinematreasures.org/theaters/29280,
Quincy,FDYB1931 -FDYB1950,"8312 Quincy Avenue, Cleveland, Ohio, United States, 44104",8312 Quincy Avenue,Cleveland,Ohio,United States,44104,Demolished,Used as a church at some point?,1921,1929,,,,https://cinematreasures.org/theaters/45397,
Rivoli,FDYB1931 - 1932,"7614 Central Ave, Cleveland, Ohio, United States, 44104",7614 Central Ave,Cleveland,Ohio,United States,44104,Demolished,,,,,,,https://www.cinematour.com/tour/us/53648.html,
Standard,FDYB1950,"811 Prospect Avenue, Cleveland, Ohio, United States, 44114",811 Prospect Avenue,Cleveland,Ohio,United States,44114,Demolished,,,1989,,,,https://cinematreasures.org/theaters/7458,The theatre had shown black-oriented action films briefly in the early-1980’s.
Sunbeam [renamed King?],FDYB1950,"7101 Kinsman Road, Cleveland, Ohio, United States, 44104",7101 Kinsman Road,Cleveland,Ohio,United States,44104,Converted,Original Harvest Missionary Baptist Church,,,,,,https://cinematreasures.org/theaters/45395,"The Sunbeam Theatre was open prior to 1925. It seated 700 and was operating into the late-1940’s (no longer listed in 1948). Another listing for King Theatre at 2804 E. 79th Street, Cleveland, OH 44104."
U.S.,FDYB1931 - 1932,"/, Cleveland, Ohio, United States, ",/,Cleveland,Ohio,United States,,,,,,,,,,
Empress,FDYB1931 - FDYB1950,"770 E. Long Street, Columbus, Ohio, United States, 43203",770 E. Long Street,Columbus,Ohio,United States,43203,Demolished,Used as a church in its later years,1920,,,J. Ernest Williams and J. Albert Jackson,,https://cinematreasures.org/theaters/37870,
Exhibit,FDYB1931 - 1932,"155 N. High Street, Columbus, Ohio, United States, 43215",155 N. High Street,Columbus,Ohio,United States,43215,Demolished,,"April 21, 1907",1941,,,,,
Goodale [originally Savoia],FDYB1950,"404 Thurber Drive W., Columbus, Ohio, United States, 43215",404 Thurber Drive W.,Columbus,Ohio,United States,43215,,,,,,,,https://cinematreasures.org/theaters/40447,Could also be located at 649 Delaware Avenue?
Hippodrome,FDYB1931 - 1932,"77 N. High Street, Columbus, Ohio, United States, 43215",77 N. High Street,Columbus,Ohio,United States,43215,,,"October 26, 1914","December 31, 1933",,,,,
Lincoln,,"769 East Long Street
, Columbus, Ohio, United States, 43203","769 East Long Street
",Columbus,Ohio,United States,43203,Still Standing,Still in operation,"November 22, 1928",,,"James Albert Jackson, James Williams",,https://www.lincolntheatrecolumbus.com/about/history/,"Originally named Ogden Theatre and Ballroom. ""For more than 40 years, the Lincoln Theatre provided stage and screen entertainment for Columbus’ African-American community. In the 1960s and ‘70s, however, construction of a major highway displaced more than 10,000 residents and divided the King-Lincoln District from downtown. With this construction, integration, and the growing popularity of the automobile, nearly two-thirds of the neighborhood migrated to the suburbs and the Lincoln Theatre was forced to close its doors."""
New,FDYB1931 -,"409 E. Main Street, Columbus, Ohio, United States, 43215",409 E. Main Street,Columbus,Ohio,United States,43215,Demolished,,1916,1949,,,,https://cinematreasures.org/theaters/40462,
New Wonder,FDYB1931 -,"1921 Parsons Ave, Columbus, Ohio, United States, 43207",1921 Parsons Ave,Columbus,Ohio,United States,43207,Demolished,,,,,,,https://www.cinematour.com/tour/us/44367.html,Listed as Wonder Theatre
Ogden [now Lincoln],FDYB1931 -,"\, Columbus, Ohio, United States, ",\,Columbus,Ohio,United States,,,,,,,,,,"The Ogden Theatre & Ballroom opened on November 26 (Thanksgiving Day) 1928. It was equipped with a Robert-Morton 3 manual 9 rank theatre pipe organ. It was an African-American theatre. Following refurbishment it reopened as the Lincoln Theatre on June 15, 1938 with Edmund Lowe in “Murder on Diamond Row”."
Pythian,"FDYB1931 - 1932, FDYB1950","867 Mount Vernon Avenue, Columbus, Ohio, United States, 43203",867 Mount Vernon Avenue,Columbus,Ohio,United States,43203,Still Standing,Now part of King Arts Complex,,,,,,https://cinematreasures.org/theaters/30542,"The building was added to the National Register of Historic Places in 1983. After receiving a $2.7 million renovation, the Pythian Theater is now part of the King Arts Complex which opened in March of 1987."
Rialto,FDYB1931 - 1932,"/, Columbus, Ohio, United States, ",/,Columbus,Ohio,United States,,,,,,,,,,Could be this?: https://www.cinematour.com/tour/us/19341.html
Royal,FDYB1931 - 1932,"251 E. Main Street, Columbus, Ohio, United States, 43215",251 E. Main Street,Columbus,Ohio,United States,43215,Demolished,,1911,1951,,,,https://cinematreasures.org/theaters/40488,
Savoia,FDYB1931 - 1932,", Columbus, Ohio, United States, ",,Columbus,Ohio,United States,,,,,,,,,,
Classic,FDYB1931 -FDYB1950,"815-817 W. 5th Street, Dayton, Ohio, United States, 45407",815-817 W. 5th Street,Dayton,Ohio,United States,45407,Demolished,,"August 26, 1927",1959,,,,https://cinematreasures.org/theaters/10070,"thought to be the first theater in the United States to be built, operated and managed by African-Americans"
Edgemont,FDYB1931 - 1932,"Germantown St & Williams St, Dayton, Ohio, United States, 45417",Germantown St & Williams St,Dayton,Ohio,United States,45417,Demolished,,1911,,,,,https://www.cinematour.com/tour/us/20023.html,
Midget,FDYB1931 - 1932,"1019 W. Third Street, Dayton, Ohio, United States, 45402",1019 W. Third Street,Dayton,Ohio,United States,45402,Still Standing,Building vacant,1913,1928,,,,https://cinematreasures.org/theaters/10001,
Palace,FDYB1931 -FDYB1950,"1125 W. 5th Street, Dayton, Ohio, United States, 45402",1125 W. 5th Street,Dayton,Ohio,United States,45402,Demolished,Used as a church prior to demolition,"December 25, 1927","December 19, 1957",,,,https://cinematreasures.org/theaters/20075,
Regal,FDYB1950,"1314 Germantown Street, Dayton, Ohio, United States, 45408",1314 Germantown Street,Dayton,Ohio,United States,45408,,,1949,1955,,,,https://cinematreasures.org/theaters/10077,"Opened in 1914 as Muse-Us, renamed to Regal in 1940. It is listed as a Negro theater from 1949 through to 1955. "
Lyric,FDYB1931 - 1932,"321 High Street, Hamilton, Ohio, United States, 45011",321 High Street,Hamilton,Ohio,United States,45011,Demolished,,,1952,,,,https://cinematreasures.org/theaters/51091,
New Heights,FDYB1950,"/, Lockland, Ohio, United States, ",/,Lockland,Ohio,United States,,,,,,,,,,
Roxy,FDYB1950,"619 Maple Street, Lockland, Ohio, United States, 45215",619 Maple Street,Lockland,Ohio,United States,45215,,,,,,Goldman family,,https://cinematreasures.org/theaters/65786,Originally one of five Black-oriented movie theatres/performance venues in Cincinnati owned by the Goldman family
Lincoln,FDYB1931 - 1932,"1157 11th Street, Portsmouth, Ohio, United States, 45662",1157 11th Street,Portsmouth,Ohio,United States,45662,Still Standing,Building is vacant/abandoned,,,,,,https://www.instagram.com/p/Bi3KHk-lh6a/,"Built circa 1918, the Lincoln was once a center of African American life in the city’s North End. In addition to movies, the Lincoln Theatre hosted political rallies, church services, boxing matches, and jazz concerts in the 1920s and 30s. "
Lenox,FDYB1950,"/, Springfield, Ohio, United States, ",/,Springfield,Ohio,United States,,,,,,,,,,
Lincoln,FDYB1931 -,"/, Springfield, Ohio, United States, ",/,Springfield,Ohio,United States,,,,,,,,,,
Southern,FDYB1950,"/, Springfield, Ohio, United States, ",/,Springfield,Ohio,United States,,,,,,,,,,
Washington,FDYB1931 - 1932,"/, Springfield, Ohio, United States, ",/,Springfield,Ohio,United States,,,,,,,,,,
Dixie,FDYB1950,"439 Dorr Street, Toledo, Ohio, United States, 43602",439 Dorr Street,Toledo,Ohio,United States,43602,Demolished,Replaced by a church; original building may have been used as a church as well,1935,1950,,,,https://cinematreasures.org/theaters/15611,
Loop,FDYB1950,"417 N. Superior Street, Toledo, Ohio, United States, 43604",417 N. Superior Street,Toledo,Ohio,United States,43604,Demolished,,"October 21, 1938",,,,,https://cinematreasures.org/theaters/15614,
Wayne [renamed Mohawk],FDYB1950,"134 W. Lisbon Street, Waynesburg, Ohio, United States, 44688",134 W. Lisbon Street,Waynesburg,Ohio,United States,44688,Converted,Cibo's Restaurant,,,,,,https://cinematreasures.org/theaters/26993,Rebuilt as Mohawk in 1951 after a fire
Wilberforce,FDYB1931 - 1932,"/, Wilberforce, Ohio, United States, ",/,Wilberforce,Ohio,United States,,,,,,,,,,
McGuffey (Cl.),FDYB1950,"1846 Jacobs Road, Youngstown, Ohio, United States, 44505",1846 Jacobs Road,Youngstown,Ohio,United States,44505,,,,,,,,https://cinematreasures.org/theaters/48436,
Regent,FDYB1950,"239 E. Federal Street, Youngstown, Ohio, United States, 44503",239 E. Federal Street,Youngstown,Ohio,United States,44503,Demolished,,,,Demolished for urban renewal,,,https://cinematreasures.org/theaters/45404,
Dreamland,FDYB1926 - ,"425 E. Main Street, Ardmore, Oklahoma, United States, 73401",425 E. Main Street,Ardmore,Oklahoma,United States,73401,Converted,Church,1914,1933,,,,,Operating as African American Theater by 1926
Hale,FDYB1931 - ,"\, Boley, Oklahoma, United States, ",\,Boley,Oklahoma,United States,,,,,,,,,,
Yale,FDYB1927,"\, Boley, Oklahoma, United States, ",\,Boley,Oklahoma,United States,,,,1915,,,,,https://gateway.okhistory.org/explore/titles/t03131/browse/?q=Yale&t=fulltext&sort=,
Wonderland,FDYB1931 - 1932,"\, Broken Bow, Oklahoma, United States, ",\,Broken Bow,Oklahoma,United States,,,,,,,,,,
Liberty,FDYB1931 -,"\, Chickasha, Oklahoma, United States, ",\,Chickasha,Oklahoma,United States,,,,,,,,,,
Wonderland,FDYB1931 -,"\, Cushing, Oklahoma, United States, ",\,Cushing,Oklahoma,United States,,,,,,,,,,
Dunlap,FDYB1931 - 1932,"\, Idabel, Oklahoma, United States, ",\,Idabel,Oklahoma,United States,,,,,,,,,,
Grand,FDYB1931 - ,"117 S. 2nd Street, Muskegee, Oklahoma, United States, 74401",117 S. 2nd Street,Muskegee,Oklahoma,United States,74401,Demolished,Parking lot,"September 23, 1909",1969,,,,,
Aldridge,FDYB1931 -,"303 NE 2nd Street, Oklahoma City, Oklahoma, United States, 73104",303 NE 2nd Street,Oklahoma City,Oklahoma,United States,73104,Demolished,Apartment complex,2/2/1920,"June 6, 1964",,,,,
Dixie,FDYB1926 -,"120 N. Greenwood Avenue, Tulsa, Oklahoma, United States, 74120",120 N. Greenwood Avenue,Tulsa,Oklahoma,United States,74120,Demolished,Commercial space,Before 1920s,1941,,,,,"White owned theatre in the Greenwood Business District, which was a Black district in Tulsa."
Dreamland,FDYB1926 -,"127 N. Greenwood Avenue, Tulsa, Oklahoma, United States, 74120",127 N. Greenwood Avenue,Tulsa,Oklahoma,United States,74120,Demolished,Commercial space,"August 30, 1914",After 1955,,,,,"Race riot of April 1, 1921 destroyed the theater. Rebuilt as New Dreamland Theatre"
Gibson's Broad St.,FDYB1931 - ,"500 South Broad St. , Philadelphia, Pennsylvania, United States, 19146",500 South Broad St. ,Philadelphia,Pennsylvania,United States,19146,Demolished,,1919,1955,,,,,
Jewell,FDYB1933,"342-350 Northampton St. , Philadelphia, Pennsylvania, United States, 18042",342-350 Northampton St. ,Philadelphia,Pennsylvania,United States,18042,,,1907,1966,,,,,
Keystone,FDYB1931 - ,"1026 W. Lehigh Ave, Philadelphia, Pennsylvania, United States, 19133",1026 W. Lehigh Ave,Philadelphia,Pennsylvania,United States,19133,Demolished,,1911,1954,,,,,
New Forest,FDYB1933,"\, Philadelphia, Pennsylvania, United States, ",\,Philadelphia,Pennsylvania,United States,,,,,,,,,,
Pearl,FDYB1931 - ,"2047 Ridge Ave, Philadelphia, Pennsylvania, United States, 19121",2047 Ridge Ave,Philadelphia,Pennsylvania,United States,19121,Demolished,,1927,1971,,,,,
Rex,FDYB1931 -,"2103 Ridge Ave, Philadelphia, Pennsylvania, United States, 19121",2103 Ridge Ave,Philadelphia,Pennsylvania,United States,19121,Demolished,,1915,1955,,,,,
Royal,FDYB1931 -,"1524 South St. , Philadelphia, Pennsylvania, United States, 19146",1524 South St. ,Philadelphia,Pennsylvania,United States,19146,Demolished,,1920,1970,,,,,
Standard,FDYB1931 - 1932,"1124 South St., Philadelphia, Pennsylvania, United States, 19147",1124 South St.,Philadelphia,Pennsylvania,United States,19147,Demolished,,1888,1954,,,,,
Burke,FDYB1933,"53-55 Fullerton St. , Pittsburgh, Pennsylvania, United States, 15219",53-55 Fullerton St. ,Pittsburgh,Pennsylvania,United States,15219,,,,,,,,,
Elmore,FDYB1931 - 1932,"2312-2314 Centre Ave, Pittsburgh, Pennsylvania, United States, 15219",2312-2314 Centre Ave,Pittsburgh,Pennsylvania,United States,15219,Converted,church ,1911,1938,,,,,
Roosevelt,FDYB1933,"1862 Center Ave, Pittsburgh, Pennsylvania, United States, 15219",1862 Center Ave,Pittsburgh,Pennsylvania,United States,15219,Demolished,,1929,1974,,,,,
